id,ppgG,ppgIR,ppgR,statusG,statusIR,statusR,timestamp
464,166991,7402606,5522413,0,0,0,1748698263724
465,165260,7388354,5509860,0,0,0,1748698263764
466,163974,7379971,5502833,0,0,0,1748698263804
467,162895,7375418,5496893,0,0,0,1748698263844
468,162079,7372335,5494542,0,0,0,1748698263884
469,161686,7371076,5495513,0,0,0,1748698263924
470,160481,7369539,5496013,0,0,0,1748698263964
471,157832,7365423,5493329,0,0,0,1748698264004
472,154465,7360292,5488736,0,0,0,1748698264044
473,150655,7352352,5480314,0,0,0,1748698264084
474,147773,7347797,5476767,0,0,0,1748698264124
475,147804,7354245,5488191,0,0,0,1748698264164
476,148849,7381793,5522167,0,0,0,1748698264204
477,153123,7458490,5572799,0,0,0,1748698264244
478,148750,7405450,5527841,0,0,0,1748698264284
479,147948,7457307,5554266,0,0,0,1748698264324
480,148414,7470677,5549630,0,0,0,1748698264364
481,153262,7538944,5596267,0,0,0,1748698264404
482,157207,7557047,5596038,0,0,0,1748698264444
483,159965,7558251,5593015,0,0,0,1748698264484
484,162252,7554183,5586211,0,0,0,1748698264524
485,162771,7545475,5578885,0,0,0,1748698264564
486,163127,7535974,5572344,0,0,0,1748698264604
487,163701,7539241,5574177,0,0,0,1748698264644
488,166878,7553093,5585798,0,0,0,1748698264684
489,170308,7566946,5596773,0,0,0,1748698264724
490,173810,7566187,5595233,0,0,0,1748698264764
491,174464,7568315,5597339,0,0,0,1748698264804
492,175227,7562191,5594315,0,0,0,1748698264844
493,176059,7545620,5586165,0,0,0,1748698264884
494,176848,7540547,5585053,0,0,0,1748698264924
495,179083,7545854,5591079,0,0,0,1748698264964
496,181571,7546270,5592596,0,0,0,1748698265004
497,183621,7547028,5594699,0,0,0,1748698265044
498,186751,7546198,5594679,0,0,0,1748698265084
499,190410,7545590,5594733,0,0,0,1748698265124
500,193694,7550411,5598178,0,0,0,1748698265164
501,196236,7554983,5602668,0,0,0,1748698265223
502,197719,7558221,5606017,0,0,0,1748698265263
503,198106,7562646,5610545,0,0,0,1748698265303
504,198846,7566957,5613716,0,0,0,1748698265343
505,200167,7568954,5614656,0,0,0,1748698265383
506,201736,7576058,5619840,0,0,0,1748698265423
507,202846,7577883,5620442,0,0,0,1748698265463
508,203499,7580048,5623849,0,0,0,1748698265503
509,203926,7581203,5625325,0,0,0,1748698265543
510,204243,7584590,5628039,0,0,0,1748698265583
511,204028,7588259,5631369,0,0,0,1748698265623
512,203974,7598134,5638484,0,0,0,1748698265663
513,203075,7605798,5642935,0,0,0,1748698265703
514,202438,7608873,5645508,0,0,0,1748698265743
515,202278,7607836,5644822,0,0,0,1748698265783
516,202006,7603891,5642417,0,0,0,1748698265823
517,201289,7598863,5638599,0,0,0,1748698265863
518,200412,7596961,5637592,0,0,0,1748698265903
519,199876,7598589,5639659,0,0,0,1748698265943
520,199494,7602605,5643041,0,0,0,1748698265983
521,199372,7604317,5643938,0,0,0,1748698266023
522,199152,7606143,5644876,0,0,0,1748698266063
523,198458,7607594,5646545,0,0,0,1748698266103
524,197627,7610115,5649636,0,0,0,1748698266143
525,196841,7609336,5648715,0,0,0,1748698266183
526,196476,7606378,5644959,0,0,0,1748698266223
527,196115,7609388,5646638,0,0,0,1748698266263
528,195546,7607565,5642992,0,0,0,1748698266303
529,194899,7616774,5648048,0,0,0,1748698266343
530,194194,7622552,5651029,0,0,0,1748698266383
531,192658,7622041,5650464,0,0,0,1748698266423
532,190152,7622852,5651889,0,0,0,1748698266463
533,186979,7615331,5649053,0,0,0,1748698266503
534,185022,7619437,5651215,0,0,0,1748698266543
535,183160,7618731,5650397,0,0,0,1748698266583
536,182469,7614328,5646729,0,0,0,1748698266623
537,183566,7609222,5643416,0,0,0,1748698266663
538,184921,7608525,5641424,0,0,0,1748698266703
539,186474,7607593,5638810,0,0,0,1748698266743
540,186668,7610054,5639031,0,0,0,1748698266783
541,186704,7609952,5634992,0,0,0,1748698266823
542,186992,7614277,5638989,0,0,0,1748698266863
543,186028,7622683,5648125,0,0,0,1748698266903
544,184561,7624559,5649665,0,0,0,1748698266943
545,183971,7627370,5655187,0,0,0,1748698266983
546,183037,7629994,5661328,0,0,0,1748698267023
547,181754,7640585,5674948,0,0,0,1748698267063
548,180105,7642608,5682946,0,0,0,1748698267103
549,178479,7642891,5690543,0,0,0,1748698267143
550,177501,7642657,5690466,0,0,0,1748698267183
551,175495,7641555,5686063,0,0,0,1748698267223
552,173731,7637809,5680521,0,0,0,1748698267263
553,172356,7634742,5675488,0,0,0,1748698267303
